OverallRating,Comment,ActionableInsightTrueFalse,Subcategory
Very Satisfied,I love Scholastic!,FALSE,Thanks/Praise
Neutral,This book club has been around since I was a child and am glad it continues on for our child today. That is over 20 years of amazing service to bringing books into our home. Thank you,FALSE,Thanks/Praise
Very Satisfied,Thank you,FALSE,Thanks/Praise
Very Satisfied,Easy to do!,FALSE,Thanks/Praise
Very Satisfied,Everything was easy to navigate!  Thank you!,FALSE,Thanks/Praise
Very Satisfied,Easy clicks! Excellent! Rate A++++,FALSE,Thanks/Praise
Very Satisfied,Love the online option - so easy and fast!  Thank you!,FALSE,Thanks/Praise
Very Satisfied,Great site!,FALSE,Thanks/Praise
Very Satisfied,I love being able to submit my child's order and pay for it online and have it shipped  to his classroom teacher!!,FALSE,Thanks/Praise
Very Satisfied,very easy and user friendly,FALSE,Thanks/Praise
Satisfied,"I like the books available. I like that you can find books by age, grade and level.",FALSE,Thanks/Praise
Very Satisfied,Website is easy to use.,FALSE,Thanks/Praise
Satisfied,I love that the teachers get a book for the class!,FALSE,Thanks/Praise
Very Satisfied,Representative was very helpful in checking my account to be sure it was still active,FALSE,Thanks/Praise
Very Satisfied,super easy to find books and place order,FALSE,Thanks/Praise
Very Satisfied,It was very easy to place my order today on line.,FALSE,Thanks/Praise
Neutral,First time user -- super easy process!,FALSE,Thanks/Praise
Very Satisfied,I love Schoastic and so do my students!,FALSE,Thanks/Praise
Very Satisfied,Love Scholastic Book Club since I was a child. As a teacher I am trying to show how wonderful books are and where they can buy them.,FALSE,Thanks/Praise
Very Satisfied,Great way to support our teachers and enhance literacy skills!,FALSE,Thanks/Praise
Very Satisfied,Scholastic has always been special to me and my students. Ordering is easy for my families and myself as the teacher.  We love scholastic!,FALSE,Thanks/Praise
Very Satisfied,I like that parents can order online under the class code!!,FALSE,Thanks/Praise
Very Satisfied,I love Scholastic!!,FALSE,Thanks/Praise
Very Satisfied,always an easy process to order books. the kids get so excited,FALSE,Thanks/Praise
Very Satisfied,love the book variety,FALSE,Thanks/Praise
Very Satisfied,I love it,FALSE,Thanks/Praise
Very Satisfied,site is user friendly and so convenient,FALSE,Thanks/Praise
Neutral,I’m also a teacher so I love scholastic books,FALSE,Thanks/Praise
Very Satisfied,Easy to put in book order,FALSE,Thanks/Praise
Neutral,thank you,FALSE,Thanks/Praise
Very Satisfied,Easy to use with the item#s.,FALSE,Thanks/Praise
Very Satisfied,AMAZING DEALS! GREAT BUNDLES,FALSE,Thanks/Praise
Very Satisfied,VERY EASY TO USE ... WELL LAID OUT ... LIKE THE FACT THAT I CAN HAVE BOTH MY CHILDREN ON THE ACCOUNT AND A SIMPLE PULL DOWN FEATURE TO CONFIRM WHICH CHILD'S BOOK IS WHICH,FALSE,Thanks/Praise
Very Satisfied,very easy to use,FALSE,Thanks/Praise
Very Satisfied,Great!,FALSE,Thanks/Praise
Very Satisfied,Thanks for the great book selection!,FALSE,Thanks/Praise
Very Satisfied,Everything worked very smoothly!,FALSE,Thanks/Praise
Satisfied,I love the holiday books,FALSE,Thanks/Praise
Very Satisfied,We love when the scholastic flyers come home from school!,FALSE,Thanks/Praise
Very Satisfied,Scholastic's website is very user-friendly and I appreciate that!,FALSE,Thanks/Praise
Very Satisfied,The Scholastic Book Clubs website is very easy to follow.,FALSE,Thanks/Praise
Very Satisfied,Very easy to navigate and user friendly.,FALSE,Thanks/Praise
Very Satisfied,I like how the site keeps track of earned rewards so I don't have to figure it out on my own with codes etc.,FALSE,Thanks/Praise
Very Satisfied,fast and friendly to use,FALSE,Thanks/Praise
Very Satisfied,I chatted with an agent and they fixed it. I had an old account that they ended up merging with my new account.,FALSE,Thanks/Praise
Very Satisfied,Christine was a helpful person online earlier this evening.,FALSE,Thanks/Praise
Very Satisfied,Great selections of books for my little reader.,FALSE,Thanks/Praise
Very Satisfied,I appreciate the code for a free book and free shipping!  Thank you!,FALSE,Thanks/Praise
Very Satisfied,I love how easy it is to navigate.  Thank you!,FALSE,Thanks/Praise
Very Satisfied,I enjoy ordering books from Scholastic.  Great deals.,FALSE,Thanks/Praise
Very Satisfied,I love the books and that I can easily order books for my son without sending money into school with him.,FALSE,Thanks/Praise
Very Satisfied,Great website! keeps kids entertained all night sitting at the dinner table from 4:30-9:00 there bed time.,FALSE,Thanks/Praise
Very Satisfied,Got great suggestions and searching for specific books was easy.,FALSE,Thanks/Praise
Very Satisfied,Smooth ordering experience.  Thank you..,FALSE,Thanks/Praise
Very Satisfied,"I've been a big fan of Scholastic Book Clubs for many years and appreciate the work the company does and how they support literacy not only at my center, but across the country.",FALSE,Thanks/Praise
Very Satisfied,Love scholastic!! Kids need to hold books.,FALSE,Thanks/Praise
Very Satisfied,Very easy to use once I entered the age of my child I was able to see a great selection,FALSE,Thanks/Praise
Very Satisfied,The site was easy to use and I placed an order with no issues.,FALSE,Thanks/Praise
Very Satisfied,Very easy,FALSE,Thanks/Praise
Very Satisfied,"I love scholastic book clubs! The user interface is easy to use and I LOVE getting points with every order, it makes me able to supply my home and classroom with wonderful books to read.",FALSE,Thanks/Praise
Very Satisfied,I loved that we got a free book from the $5 page!,FALSE,Thanks/Praise
Very Satisfied,Site is easy yo navigate,FALSE,Thanks/Praise
Very Satisfied,Absolutely love Scholastic and the experience of it. So excited my kids get to be a part of this now too.,FALSE,Thanks/Praise
Very Satisfied,Very easy and connected to my daughters class with the code right away.,FALSE,Thanks/Praise
Very Satisfied,very simple step by step   Thank you :-),FALSE,Thanks/Praise
Very Satisfied,"Using the site is simple, which I can appreciate!",FALSE,Thanks/Praise
Satisfied,Love getting books for my kids and helping the teacher.,FALSE,Thanks/Praise
Very Satisfied,I love having the opportunity to add to our home library and help out my child's classroom,FALSE,Thanks/Praise
Very Satisfied,All around great,FALSE,Thanks/Praise
Very Satisfied,Excellent choice of books and great prices.  Thanks for making ordering so easy.,FALSE,Thanks/Praise
Very Satisfied,Easy and quick to order!,FALSE,Thanks/Praise
Satisfied,Site was quick and easy to navigate.,FALSE,Thanks/Praise
Very Satisfied,Site is very easy to navigate. I love that we can create a wish list for next time!,FALSE,Thanks/Praise
Neutral,The site is always so easy to use!,FALSE,Thanks/Praise
Neutral,Thank you guys for all you do.,FALSE,Thanks/Praise
Satisfied,I like that I received an email when a family orders books online.,FALSE,Thanks/Praise
Very Satisfied,"very user friendly, fast & efficient",FALSE,Thanks/Praise
Very Satisfied,Anxious to provide opportunities for students to buy books.,FALSE,Thanks/Praise
Very Satisfied,I appreciate the work taken to make Scholastic great again! Thank you!,FALSE,Thanks/Praise
Disappointed,I have not been able to intentionally get to a place to input the code from my flyer,TRUE,Digital Flyer
Very Disappointed,still can not find where the editable flier is to send home,TRUE,Digital Flyer
Neutral,Letter to parents downloaded blank.,TRUE,Parent Letter
Neutral,Hard to find information. Video tutorials would be nice.,TRUE,Userability/Performance/Navigation
Very Satisfied,"On the mobile app, I was trying to add the ""READS"" free book, but the ""confirm and apply"" button was below the screen and I couldn't scroll far enough to be able to click it. On the computer it worked fine.",TRUE,Mobile Compatibility
Satisfied,Took me awhile.  Not super user friendly.,TRUE,Userability/Performance/Navigation
Neutral,Not finding info,TRUE,Userability/Performance/Navigation
Neutral,Need larger pictures to show children the available books.,TRUE,Userability/Performance/Navigation
Satisfied,"Easy to add items to wish list and cart. Sometimes navigation is difficult (e.g., once get to checkout, it would be nice to have a back button ('back to shopping'), rather than using the browser back button or having to go back 'home' and navigate back to where I was before entering checkout).",TRUE,Userability/Performance/Navigation
Neutral,"I had trouble finding where to submit my child’s teacher & when I found it, my entire cart was deleted so I had to start over. It would be better if the scholastic site worked seamlessly with the school classroom pages.",TRUE,Shopping Cart/Checkout
Disappointed,It will not add to my cart at all and I can't order.    I have a credit that I can't use.,TRUE,Shopping Cart/Checkout
Very Satisfied,"Site worked great! The search function under the site search was a little confusing since it only had the ""add to cart"" button there instead of going to the item to view the descrip. I get the idea of it, just wasn't prepared for it. This is so much easier than filling out those awful newsprint, tiny order forms lol",TRUE,Filter/Search Options
Satisfied,I feel like there should be an easier search function,TRUE,Filter/Search Options
Very Satisfied,Wish there was a way to edit a letter to attach to the student flyers.      Such as fonts and size.  I can't figure that out.,TRUE,Parent Letter
Neutral,Search function is not great,TRUE,Filter/Search Options
Neutral,Had trouble going back to the $1.00 page : D,TRUE,Userability/Performance/Navigation
Neutral,The site is not easy to navigate.  I feel like you have to click around a lot to find the best deals for teachers.,TRUE,Userability/Performance/Navigation
Neutral,"I find the site has not been updated in 3 years, since I was last in the classroom. It is not the most user-friendly to maneuver in between the teacher wish list and book selecting. I wish multiple books could be added at once instead of one at a time.     It would be nice to have received physical copies of flyers.",TRUE,Userability/Performance/Navigation
Satisfied,Just still looking for where to do this. :),TRUE,Userability/Performance/Navigation
Neutral,Not an easy site to navigate and prices have gone up.,TRUE,Userability/Performance/Navigation
Neutral,It is still not easy to quickly find what I want and switch back and forth between items.,TRUE,Filter/Search Options
Neutral,"Your site is not easy to follow to order the books. I had to use the sheets that were sent home from the school and then search for each book using the item number. I was not impressed with the site. I would recommend the books, but I would also warn everyone about using the site.",TRUE,Userability/Performance/Navigation
Neutral,"should be able to place books in ""shopping cart"" directly from the digital flyer. The numbers on the digital flyer are too small to easily read. Should be listed when click on the book.",TRUE,Userability/Performance/Navigation
Satisfied,Kept freezing on the flyer's.,TRUE,Digital Flyer
Satisfied,"I could not print my printable teacher letter - I got a screen with ""bad response"" instead.  I opened it in an incognito window and it worked.",TRUE,Parent Letter
Very Disappointed,when I am at checkout and have $ to use - I should be able to pull up my wish list and add those books in.  This is very frustrating.  The system really needs to be easier for teachers.  We don't have time to navigate back and forth.,TRUE,Userability/Performance/Navigation
Very Satisfied,very well placed categories ans recommendations. Only feedback is that when I was on a recommendation page I liked 2 books and I clicked on 1 to add to cart but after that I couldnot go back to the same recommendation page and missed the second book I had liked. I then had to search for it again.,TRUE,Userability/Performance/Navigation
Neutral,The survey popped up before I could complete what I was doing.,TRUE,Survey Pop Up
Satisfied,Sometimes I find it hard to locate the collection deals or the book of the week sale,TRUE,Filter/Search Options
Satisfied,I am not sure that the entire process is intuitive but I am muddling through.,TRUE,Userability/Performance/Navigation
Satisfied,Keep me logged in once I log in,TRUE,Logged Out/Repeat Log Ins/Password Help
Neutral,The process to confirm an online order placed by a parent is overly complicated & redundant.,TRUE,Userability/Performance/Navigation
Satisfied,A couple search challenges. Typed in a book I knew was there and it didn't come up.,TRUE,Filter/Search Options
Very Satisfied,"I find the site hard to navigate.  The collections can sometimes be helpful, but it would be nice to be able to just look through all titles at once.",TRUE,Filter/Search Options
Satisfied,It timed out and did not keep what I had done. I had to re-enter everything.,TRUE,Shopping Cart/Checkout
Satisfied,I cannot print or download the parent letter.,TRUE,Parent Letter
Very Satisfied,Some of the digital flyers would not load to view.,TRUE,Digital Flyer
Satisfied,"It would be great if teachers/parents could search by price (for example in the search bar enter ""$1"" and all the $1 books came up)",TRUE,Filter/Search Options
Satisfied,The button to SEE ALL in a section doesn't stand out easily,TRUE,Userability/Performance/Navigation
Very Satisfied,"Site is easy to navigate. However, I did not see the bonus catalog section. I will look when I submit order on Wednesday.  Thanks for the $1.00 book section. helps me with birthday books and holiday books.",TRUE,Filter/Search Options
Satisfied,It would be great if you had a way to sort by price or browse for books below a certain price point.,TRUE,Filter/Search Options
Neutral,cant search for a book,TRUE,Filter/Search Options
Satisfied,"I wish there was a way to search or sort by price. For example, as a parent (or a teacher) looking to build my library on a tight budget, I'd love to search for all the $5 and under books. Or knowing that Scholastic has dollar deals, all the $2 books.",TRUE,Filter/Search Options
Neutral,Just initial navigation is a little confusing,TRUE,Userability/Performance/Navigation
Satisfied,The way the free book code needed to be entered was a bit confusing. I ended up ordering two copies of the same book.,TRUE,Filter/Search Options
Very Disappointed,The page is stuck on the check out screen  Very frustrating,TRUE,Userability/Performance/Navigation
Neutral,"I tried on my phone to enter a free book and submit my order,but it did not work so I went on my computer and tried and it worked.",TRUE,Mobile Compatibility
Very Disappointed,It said general error.,TRUE,Userability/Performance/Navigation
Neutral,"I am truly not trying to sound negative or that I'm complaining, but your website is incredibly difficult to navigate. There are WAY to many things to look on every page that I go to. Perhaps student orders can show up as JUST their names with a drop down option if you want to see what they've ordered? I don't know... it's just really challenging every time I come to this site. Like I said, I'm NOT trying to complain... I LOVE children's books and I LOVE promoting them. I just have a really hard time on your website. Thank you",TRUE,Userability/Performance/Navigation
Neutral,I can't find filters and I wanted to filter by price.,TRUE,Filter/Search Options
Disappointed,"Very slow, site freezing.",TRUE,Userability/Performance/Navigation
Satisfied,I was unable to find the book packs listed on the cover pages of the flyers sent to me.  I wasn't sure where to find them.   It was also difficult to see the text when I was viewing sample pages.  Sometimes I was able to get it to zoom in on the words by moving my mouse over and sometimes it would not.   It was also frustrating to have to keep clicking on the see full details button to read a description of the story.,TRUE,Userability/Performance/Navigation
Neutral,"I read the tutorial, but found it a little difficult to navigate the site and look at books. After I ordered I realized there were a LOT more books to choose from than I had seen. Oh well, next time. The prices are good. Not all books had a description of the story",TRUE,Userability/Performance/Navigation
Very Disappointed,Rested an account one for each child then could not get to a place to order for youngest. I was stuck at the oldest.   Will go out and try again,TRUE,Userability/Performance/Navigation
Neutral,I had trouble viewing the digital flyer.,TRUE,Userability/Performance/Navigation
Neutral,"I am unsure if I sent the email to parents. I was in the middle of adding students and I was told that my time expired. However, when entering names, I thought I could download the list but I saw that all those names came up as one student. Then, I could not delete my error so I had to continue and add students  one at a time. This involved typing name, clicking add, having to click in box again to type another name., etc. Then time expired and I do not know what students I have listed.   I did not continue because it would take more time.    I did share the SBC to 2 of our new colleagues. I hope they do not get discouraged.",TRUE,Userability/Performance/Navigation
Neutral,Very slow to load,TRUE,Userability/Performance/Navigation
Satisfied,"The hover behavior where it opens a dialog when you're in the catalog view is a little weird, but it works.    Tried to search for ""how it's built"" books, and the search definitely seems like it could use improvement. No results for ""sailboat"" even though there's a sailboat book in there.",TRUE,Filter/Search Options
Satisfied,"Below ,in this survey , you asked me if I need assistance ( which I don't ) , then my email was required regardless. Why?",TRUE,Survey Pop Up
Very Satisfied,"I completed the survery before I was able to put in my order for it popped up as I was about to do the order/bonus part of the website. The survey should come up at the end, not at the start.",TRUE,Survey Pop Up
Neutral,There were so many pop ups and notifications it was hard to see where I had to go and where to enter the actual order. Please make it more user friendly. thank you,TRUE,Userability/Performance/Navigation
Satisfied,I wish that you could also search for books by price.  I often have money to spend (earned rewards) and sometimes difficult to spend the exact amount.  Being able to search by price would help with this process.,TRUE,Filter/Search Options
Neutral,I would love to be able to search books by reading level (vs. age level).,TRUE,Filter/Search Options
Satisfied,it logged me out after a few minutes of inactivity but once i logged back in all my items were still in my shopping cart,TRUE,Logged Out/Repeat Log Ins/Password Help
Neutral,"Maybe I am just missing it, but I really wish I could find books by the skill level of the reader better. My son has dyslexia and isn't reading at his grade level, so it makes finding books for him on this site difficult.",TRUE,Filter/Search Options
Satisfied,It's not user friendly unless you are knowledgeable with the site,TRUE,Userability/Performance/Navigation
Satisfied,Some parts wouldn't load. It would also be nice if you could add to cart straight from the brochure page,TRUE,Userability/Performance/Navigation
Neutral,"When my account pulls up, it pulls up to my parent account.  I want it to pull up to my teacher account.  I guess I will have to cancel the parent account because otherwise I have to try to figure out how to see student orders- it's not very user friendly.    When you pull up the flyer view, it won't let you go to the next page if you zoom in to look at anything.  You should still be able to click the arrow to turn the page even if you zoom in to see a book description instead of going all the way out and starting over.",TRUE,Userability/Performance/Navigation
Satisfied,Would like option to have a quick translated Spanish version  of the Family Letter - Could not find.  Thank you   -    The website gets improved each year - and teachers/parents really appreciate that.,TRUE,Parent Letter
Neutral,"Some of the features on the website are a little difficult to manage on various devices--the popups (while helpful at times) often get in the way of the task at hand.  The website was very difficult to use on an iPad, but much better on a laptop.",TRUE,Mobile Compatibility
Satisfied,It's hard to find the exact books on the teacher's list.,TRUE,Filter/Search Options
Neutral,"I would appreciate an easier way to look at the flyers...maybe in alphabetical list for with a picture of the book  beside each listing.    It would also be wonderful if there were more books available with a Christian theme, especially at Christmas and Easter.",TRUE,Digital Flyer
Disappointed,"Historically, I find the Scholastic Book Club site very challenging to navigate",TRUE,Userability/Performance/Navigation
Very Disappointed,"The site loads slowly, shows books I don't click on. The digital flyer is clever but not user-friendly. At all. A different format (maybe that looks less likely the flyer) would work better.",TRUE,Digital Flyer
Very Disappointed,"The interface takes me in circles when I'm trying to find something. It has always been challenging to have a teacher and parent account simultaneously, they do not pair well together. Very frustrated that my account is under a parent and I have no way to change it to an educator. I just want flyers to send to my students and have no way to access it or request flyers.",TRUE,Userability/Performance/Navigation
Very Disappointed,"I can't add anything to my cart!  I click the black ADD TO CART button, and a pop-up says the item is added, but when I go to the cart it is empty.  This site is useless.",TRUE,Shopping Cart/Checkout
Satisfied,It’s difficult to swipe right and see all the books in a category.,TRUE,Mobile Compatibility
Very Disappointed,"Every time I add a book to cart, I get a pop-up that says added to cart, but then the cart is still empty.",TRUE,Shopping Cart/Checkout
Disappointed,"I can't find two students who placed an order.  My cart is empty, but it says I have two students who ordered.  I really hope this isn't a repeat of last year when I waited from Sept. to the end of Nov. for my first book order....",TRUE,Shopping Cart/Checkout
Satisfied,It would be nice to shop by flyer without having to download every flyer,TRUE,Digital Flyer
Satisfied,"The website (and this could be operator error) would get stuck as I was trying to place the orders.  It would not let me scroll down the list of the catelog to check certain books.  I had to refresh and then it let me scroll down.  Otherwise, I like the option of being able to look at the flyer and having items shipped to my home so that they are not lost at the school. or if we need to go virtual with the pandemic.  Thank you for making these changes.  I have always loved Scholastic book club.",TRUE,Shopping Cart/Checkout
Very Satisfied,"Was a little overwhelming to sort through the flyers and try to present options to my kindergartner, but got it done!",TRUE,Digital Flyer
Very Disappointed,Congratulations- my new password for this site contains the words This is stupid.  I have been a parent ordering books for almost 10 years and the absolutely ridiculous crap I had to go through to log back in after forgetting my password was exceedingly frustrating.  What a waste of my time.  Next time I will go to the bookstore or library to get my kids’ books.  The drive will take less time.  I couldn’t even complete my order before this stupid survey popped up.,TRUE,Survey Pop Up
Satisfied,"Still getting used to using the online, but I was not able to get back to the teachers list after I chose some books. Not sure if that's a user issue but I wish there was a visible tab to get back to that after making selections and checking my cart to see what my total was at. my intention was to spend 25 and then spend the $5 on a book for the teacher and I could figure out where her requests were.",TRUE,Userability/Performance/Navigation
Neutral,"After selecting a book description, it's difficult to get back to the page where you can select a different flyer.    I would prefer more individual books instead of a pack of several.",TRUE,Digital Flyer
Disappointed,"First, what the heck is the difference between a book fair and a book store? Why does it still look like I'm benefiting my niece's old school from past years, when I tried to sign up with my daughter's new school? Your flyers stopped loading for me after I'd looked at several. The cart doesn't have an easily visible total... I have to scroll all the way to the bottom, which feels like extra work when I just want to know where things stand before I add more books (or subtract some).",TRUE,Userability/Performance/Navigation
Satisfied,I couldn't add the free book from the mobile site it wouldn't let me scroll down to submit.  So i had to pull it up on my laptop to get the free book saved.,TRUE,Mobile Compatibility
Neutral,"Even after typing in the title of the book that I was looking for, the site took a long time to find the item.",TRUE,Filter/Search Options
Satisfied,The page was slow to load. Not sure if it was the website or my computer though.,TRUE,Userability/Performance/Navigation
Neutral,Hard to search for books.,TRUE,Filter/Search Options
Disappointed,"The links provided on the flyer didn’t work. I had to search and find the site , navigation was frustrating.",TRUE,Userability/Performance/Navigation
Neutral,Could not get the site to work on the Chrome browser even with cookies unblocked.,TRUE,Userability/Performance/Navigation
Very Disappointed,Website is slow to respond and download.,TRUE,Userability/Performance/Navigation
Neutral,Seemed hard to search for books.,TRUE,Filter/Search Options
Neutral,The only issue was having the Feedback and Live Chat on the right side made it difficult to move up and down the page on my laptop.,TRUE,Userability/Performance/Navigation
Neutral,"There is a black rectangle on the THANK YOU FOR YOUR ORDER page with the word PRINT that did not print. I chatted with your rep Christopher, but he was unable to fix the problem. He said he would submit it to your tech people.",TRUE,Userability/Performance/Navigation
Neutral,how about some tutorial videos on how to...?,TRUE,Userability/Performance/Navigation
Neutral,"It is just not easy to find things on your website. Since I work on line, I need to be ale to quickly and easily see if  my students have made orders so that I can submit them.  That is not an easy thing to find.",TRUE,Filter/Search Options
Satisfied,DON'T SEE HOW TO SHARE FLYER WITH A PARENT,TRUE,Digital Flyer
Very Disappointed,When I click sign in a white blank box comes up and I am unable to sign in.  I can sign in at my school but not at home. I tried connecting to my hotspot- that didn't work either. Why can I not sign in at home?,TRUE,Logged Out/Repeat Log Ins/Password Help
Satisfied,The only difficulty is shopping or making Teacher Selections by level. I wish there was a way to search books by reading level.,TRUE,Filter/Search Options
Satisfied,I thought this was pretty straight forward. My only thing was that it took me a moment to find the button to see all books in the age group I selected rather than just a sample of what was available. Once I saw that link everything else was easy.,TRUE,Filter/Search Options
Very Satisfied,"When I tried to download my Family Letter, it would not open to the letter. The site stated it was not found.",TRUE,Parent Letter
Satisfied,If it is possible to look at books by theme a little easier it would be nice.,TRUE,Filter/Search Options
Satisfied,not enough books displayed on a page when looking at fiction books.  Too many pages to click through.,TRUE,Userability/Performance/Navigation
Satisfied,"There was a $1 books offer that opened to me, but when I switched pages I couldn't find it again. I was going to go back and get some but couldn't access it easily. Otherwise no problems.",TRUE,Userability/Performance/Navigation
Neutral,"the suggestions of books are very small, and it should have an option to search books by themes.",TRUE,Filter/Search Options
Satisfied,"I'm still learning how to navigate to what I need. Sometimes, it's not as intuitive as I'd like. Overall, I've had a positive experience with the site.",TRUE,Userability/Performance/Navigation
Disappointed,Please allow for author searching and linking. Subjects as well. Sort filter features by price and reading level while I'm dreaming.,TRUE,Filter/Search Options
Disappointed,It is just not user friendly. Lots of scrolling. and the information you're looking for is not really in the place you are looking for it to be in.,TRUE,Userability/Performance/Navigation
Neutral,"When on mobile, hard to find how to order for book club to benefit classroom.",TRUE,Mobile Compatibility
Satisfied,Sign in period is too short.  Most times when browsing I need to come back and find I've been signed out.  It's just annoying to sign back in is all.,TRUE,Logged Out/Repeat Log Ins/Password Help
Neutral,"I don't think it's the most user friendly site. Also, I don't appreciate how Scholastic has raised the price so much that most of our families can't afford to get the books anymore.",TRUE,Userability/Performance/Navigation
Satisfied,It is annoying to me that the site works best in landscape over portrait on my iPad. I usually forget to turn it.,TRUE,Mobile Compatibility
Satisfied,"The search functions are a little antiquated, but I was able to complete, thanks!",TRUE,Filter/Search Options
Satisfied,"i wasn't able to find a way to search by topic, like self regulation.  I just had to hope it came up.  You should have a tab for kids on spectrum.  Maybe you do but it wasn't obvious.",TRUE,Filter/Search Options
Very Satisfied,"Some trouble logging in - didn't accept password, but overall easier than usual.  As I've said before your site doesn't do well with Mozilla and other browsers that focus on privacy which is annoying as I have to use chrome or edge - whichever will work that day.  Also, my biggest pain is trying to enter the due dates.  Often the Drop-down calendar will not register my date.  It would be preferable to have an option to type in a date.  Thank you - hoping things are running more smoothly this year.",TRUE,Userability/Performance/Navigation
Very Disappointed,It will not let me order books. Nothing shows in my cart,TRUE,Shopping Cart/Checkout
Very Satisfied,"if possible filters allowing me too look at subjects per age.  For example... fears/anxiety & age  options with 'where is my monster'.  Also maybe select value packs as alternate purchases when you select a particular book.   I found the above example after searching examples, then put it directly in to see if you had the book as an option.  After I completed my order I discovered there was a value pack with another similar book.",TRUE,Filter/Search Options
Satisfied,When searching for books to add the site often lags.,TRUE,Userability/Performance/Navigation
Very Disappointed,website is not formulated to be used with a cellphone. wouldnt even let me submit payment on my cellphone i had to use a desktop computer.,TRUE,Mobile Compatibility
Neutral,"I put items in my cart, but the site would not let me log in so I could buy the books I wanted to purchase. I had an account last year and my grandson s now in first grade, so i need to chanfge classrooms, which i did, but then I could not log in. I tried to create a new account, but could not do that either. I am not impressed with your website a the moment.",TRUE,Shopping Cart/Checkout
Satisfied,The scroll side bar is so skinny to move.  I hope shipping timeline has improved to pre pandemic schedule.,TRUE,Userability/Performance/Navigation
Neutral,Password reset,TRUE,Logged Out/Repeat Log Ins/Password Help
Satisfied,"not hard, but not very easy finding the right flyer to order the books",TRUE,Digital Flyer
Satisfied,I tried to pull up the2nd & 4th grade flyers to view. they never came up even after I clicked the help if  having trouble,TRUE,Digital Flyer
Very Satisfied,The digital flyer wouldn't always come up,TRUE,Digital Flyer
Satisfied,It would be great if you could search by lexile/reading level.  Or even if you could easily access flyers from other grades as my child is reading above her grade level.,TRUE,Filter/Search Options
Satisfied,It was hard to get to the flyers but overall it was a good visit!,TRUE,Digital Flyer
Satisfied,"Not difficulties per se, but the website doesn't always feel intuitive for figuring out how to do what I need as a teacher. This is only my second year, so maybe that's why.",TRUE,Userability/Performance/Navigation
Very Satisfied,"I couldn't remember my password but if I had known the ""requirements"" I would've been able to remember it.  Maybe it would be helpful to know how many characters the passwords are?",TRUE,Logged Out/Repeat Log Ins/Password Help
Satisfied,"It can be hard to find books even with the search feature.  For instance I typed in ""Babysitters Club"" and it only offered me the 5 book pack, but I knew there was an individual book available.",TRUE,Filter/Search Options
Very Disappointed,Unable to get to the Cary to purchase.,TRUE,Shopping Cart/Checkout
Very Satisfied,Is there a better way to search for all non-book items that are available to purchase? My middle schooler likes the posters and other items that are usually available during the book fairs. I was unable to locate any of those items during my search.,TRUE,Filter/Search Options
Very Satisfied,It sent me straight to the survey before I could order. I will do so now.,TRUE,Survey Pop Up
Satisfied,the flyers are glitchy,TRUE,Digital Flyer
Satisfied,I had a hard time trying to change my password.,TRUE,Logged Out/Repeat Log Ins/Password Help
Disappointed,"I am unable to find books via searching. I searched for the title  ""Marcus Makes a Movie"" and the author ""Kevin Hart,"" among others and the books in your flyer did not come up. I used to work in a library so I know how to search books. I was able to use the item number, but it's absurd that using the titles of the book does not work. I am very disappointed with how poor your site operates.",TRUE,Filter/Search Options
Satisfied,Sometimes the digital flyers would not load and I would have to keep refreshing the page. Other than that I am a big Scholastic fan and love ordering books!,TRUE,Digital Flyer
Neutral,difficult to figure out where to make changes to account.  Site not clear.,TRUE,Userability/Performance/Navigation
Satisfied,"I like being able to see tons and tons of books, but I wish there was an option to search based on price and not by grade or age. I really like the selection of suggested books at the bottom of the page after you click on a book. I feel like there are so many books I am missing and struggle to be able to search appropriately on my phone.",TRUE,Filter/Search Options
Satisfied,"I like being able to see tons and tons of books, but I wish there was an option to search based on price and not by grade or age. I really like the selection of suggested books at the bottom of the page after you click on a book. I feel like there are so many books I am missing and struggle to be able to search appropriately on my phone.",TRUE,Mobile Compatibility
Very Satisfied,"Took a long time to load, just closed the page and re-opened it about an hour later and all is good.",TRUE,Userability/Performance/Navigation
Very Satisfied,Flyers take a long time to load,TRUE,Digital Flyer
Satisfied,Please add filters to narrow down search. Grade/Price/theme all on same page.,TRUE,Filter/Search Options
Very Disappointed,"Page isn't formatted to view on Android mobile. The page is too big for mobile viewing. Can't see all the books when scrolling, it ""skips"" over half of them.",TRUE,Mobile Compatibility
Very Disappointed,This website is goddawful. I can’t figure out how to make an order and your tutorial only shows me how to send reminders and links to friends and family. I’ve been here ten minutes and I can’t figure it out. Fix your website. It sucks.,TRUE,Userability/Performance/Navigation
