OverallRating,Comment,FeedbackCategory,Subcategory
Disappointed,It is hard to find the electronic wallet to add additional money.,FALSE,E-Wallet
Satisfied,Also tough to gain access to the visa funds I had from last year.,FALSE,General/Unspecified
Neutral, you have to pay tax.,FALSE,Tax
Satisfied,I wish you would not charge tax (just have it already added in the book price). Also I miss getting a receipt with my order.,FALSE,Tax
Satisfied,Where do I mail my payment,FALSE,General/Unspecified
Neutral,Plus all four kindergarten teachers had a bill for the whole school year and our PTO had paid it.  I gave you scores based on last year.,FALSE,General/Unspecified
Satisfied,I need a tax exempt button,FALSE,Tax
Very Satisfied,"I was a little surprised to find that I could not look up the amount in my child's E-wallet without the help of Ronda, I needed to make absolute sure that my daughter wouldn't be showing up on book fair day, unable to purchase anything with her class.      Other than the ability to check the amount in your child's E-wallet easily",FALSE,General/Unspecified
Satisfied,I've struggled for years with the cc payment method on this site. Mostly around saving a cc/adding a new cc.,FALSE,General/Unspecified
Satisfied,I had to put in my card info a couple of times before it would accept it I had to enter things in a certain order.,FALSE,General/Unspecified
Satisfied,Couldn't figure out how to order the free book,FALSE,General/Unspecified
Very Satisfied,"I do not see my Bonus Points for Teacher Referrals:  Briana Snyder  Alex Castellanos  Also, how do get the 300 bonus points for ordering before September 30th.  Please advise.",FALSE,General/Unspecified
Disappointed,entered the READS promo code for free book and got no credit or option to pick a $5 book.  Forget it.,FALSE,General/Unspecified
Satisfied,Lost all my Bonus Points.  sad...,FALSE,General/Unspecified
Neutral, children should have had the ability to take advantage of the READ free book code. But only one child was able to select a free book.,FALSE,READS
Satisfied,Discount code did not work,FALSE,General/Unspecified
Satisfied,A little difficult to apply a coupon and use it- but I figured it out.,FALSE,General/Unspecified
Very Satisfied, I DO wish that when I chose my free $5.00 book that I would have been given the option to choose the book,FALSE,General/Unspecified
Neutral,I couldn't find the place to select my $10 in free books :(,FALSE,General/Unspecified
Neutral,Promo code did not work for the $25.00 order and get a free $5 book. ,FALSE,General/Unspecified
Very Disappointed,was trying to find my Bonus Points #.    I  want to know IF I can transfer my balance of points to another Teacher  at a different school.  I am retiring & dont need them.,FALSE,General/Unspecified
Satisfied,I wanted to use bonus points to buy a book but the system charged instead of using the bonus points. I ended up deleting the book.  Hopefully I can order it with the bonus points next month.,FALSE,General/Unspecified
Satisfied,"I entered the code on the header (READS), but when I tried to check out it says the code has expired.",FALSE,READS
Neutral,"the promotion code,advertised all over the site is not working",FALSE,General/Unspecified
Very Satisfied,Would not let me enter free book selection on a $176.00 order.,FALSE,General/Unspecified
Very Disappointed,"If you are going to advertise a promotion like READS, you should take it down if it's no longer available, which is the message that appears in my cart when I am ordering well over the required amount.   You're being very misleading in your advertising.   But for supporting our teacher through the promotion you are giving to teachers whose parents place orders before September 30th, this experience makes me not want to shop from Scholastic again.",FALSE,READS
Very Disappointed,  What are thee bonus points for?,FALSE,General/Unspecified
Very Satisfied,"Just wondering if parents could be prompted to select a free book when their order is over $25.  I have a family that earned a free book, but didn't make a selection.  It would be nice if they could be prompted for these rewards just like teacher's have on their checkout page.",FALSE,General/Unspecified
Very Disappointed,signing up i did not get points or neither did the person who shared. ,FALSE,General/Unspecified
Very Satisfied,"I was trying to use the READS code for the free book for several weeks and it kept saying ""expired"" but it wasn't... Finally got it to work! Thanks for the free book.",FALSE,READS
Very Disappointed,I have just placed my last order with your company.  You failed to honor your advertised rewards for teachers when students place orders.  ,FALSE,General/Unspecified
Disappointed,It would not let me spend the $5 in free books. ,FALSE,General/Unspecified
Very Disappointed,I am frankly disgusted by Scholastic's false promises of free books for teachers.  I am far to busy to waste my time on nonsense.  I will inform my classroom parents that Scholastic has repeatedly failed to uphold its promises to reward teachers with free books for student purchase,FALSE,General/Unspecified
Satisfied,I wish there are more and better options in the Bonus Catalog.,FALSE,General/Unspecified
Very Satisfied,Love all the opportunites to earn extra points and books!  I like when you send birthday or bonus in the summer.,FALSE,General/Unspecified
Neutral,Code READS is not working. About to just not bother and not order these books.,FALSE,READS
Satisfied,Yesterday I submitted a student online order and mailed a student order and today I had another student online order. Since my orders were submitted on different days I was not able to receive any bonus points or rewards. Is there any way to get those credits?,FALSE,General/Unspecified
Neutral,"I entered a discount code as offered and instructed, but it did not take.",FALSE,General/Unspecified
Disappointed,"Also, I lose out on bonus points and book picks!",FALSE,General/Unspecified
Satisfied,"When used the promotion ""READS"" to get a free book for an order over $25, I was unable",FALSE,General/Unspecified
Satisfied,"It was difficult to find a ""free book"".  The one I chose for $5, the website said was not eligible.  Don't know why it wasn't.",FALSE,General/Unspecified
Satisfied,It wouldn't let me enter my $5 free book.,FALSE,General/Unspecified
Very Disappointed,I couldnt use the READS coupon code.,FALSE,READS
Neutral,Trying to apply discounts.,FALSE,General/Unspecified
Very Disappointed,The code says expired. ,FALSE,General/Unspecified
Very Satisfied,The READS coupon didn’t work :(,FALSE,READS
Neutral,Always have a little trouble submitting my free book selection,FALSE,General/Unspecified
Very Satisfied,I didn’t get the promo code to work,FALSE,General/Unspecified
Satisfied,The coupon code for a free book expired before the book order is even due. That’s frustrating!,FALSE,General/Unspecified
Satisfied,The $10 to spend right now window was not available,FALSE,General/Unspecified
Satisfied,My students really like the paper flyers but we have not received any this school year.  Will they be sent in the future?,FALSE,Kits
Neutral, It would be nice to have received physical copies of flyers.,FALSE,Kits
Neutral,Looking for a connection to order flyers  sent to my school.  In previous years they were automatically sent to my school.  This year they  were not. I would like flyers for Early Childhood and Firefly.,FALSE,Kits
Satisfied,I didn't receive my October catalogs.  So I'm requesting them now.  I figured they would be sent out automatically each month!!!,FALSE,Kits
Very Satisfied,I am not sure that I fixed my problem.  I have not been receiving flyers this year. in  they will start coming!,FALSE,Kits
Satisfied,"I would love the flyers to be sent out again. It is a great way to help those purchase books, by seeing the item.",FALSE,Kits
Very Satisfied,"I still order books to use with students, but I don't need you to send me class flyers.  Is there a way for me to do this?",FALSE,Kits
Satisfied, I do not need any flyers right now and need to stop them from being mailed to me at my school.,FALSE,Kits
Satisfied,Need to make sure that I will be receiving my flyers at my site this year for each month. They did not come directly to me but came in bundles with other schools from the district in it. I often missed the flyers altogether because they never arrived at our site and I would have to call scholastic to send the flyers directly to me and that took a few days for them to arrive.,FALSE,Kits
Satisfied,She has half the day in spanish. I wish that the Leo flier was more often.  I think you should market your Leo flier to teachers that are DLI.,FALSE,Kits
Very Satisfied,"I haven't tried to get those catalogues yet, so I'm not sure if I'll be successful.",FALSE,Kits
Very Disappointed, I just want flyers to send to my students and have no way to access it or request flyers.,FALSE,Kits
Satisfied,"Since the pandemic, I have not been getting the student flyers sent to school.  I REALLY want them to generate more orders.  PLEASE send them to school. still have not received the paper flyers.",FALSE,Kits
Satisfied,I want to know how to get flyers,FALSE,Kits
Very Satisfied,"hi just got the flyers i requested but I guess I didn't ask for the Lucky flyers or any that would be good for second graders.    In the future could you please send me any flyers See Saw, Lucky, you can be a reader, that  second graders would order from...  Thanks   ",FALSE,Kits
Very Disappointed,stop producing sooooo many flyers that I simply recycle. Stop!!!!!,FALSE,Kits
Neutral,I still appreciate the tactile sense of browsing the printed Scholastic book order flyer.,FALSE,Kits
Disappointed,"I simply wanted to change the number of fliers I'm receiving since I have a larger class this year.  I needed to go the the ""arrow"". When I asked what arrow, she said scroll down to the bottom of the screen, for teachers, and select catalogs. There I find I need to order specific catalogs for a one-time order. ",FALSE,Kits
Satisfied,I have asked for a 4th grade flyer but have not received one- most of my parents need the paper flyer,FALSE,Kits
Neutral,I need to have flyers sent to me as I never got any and would like to make a class order. I can't find how to have flyers sent ,FALSE,Kits
Satisfied,"Some item numbers didn’t match the flyers, but overall,",FALSE,Kits
Neutral,the number are not the same as in the flyer.,FALSE,Kits
Satisfied,"I was looking for a way to request paper, book order catalogs to hand out to my students.",FALSE,Kits
Disappointed,I have now filled out the request for paper flyers twice. Please follow through and send them soon.,FALSE,Kits
Very Disappointed,"The flyer from the teacher, does NOT match on-line.",FALSE,Kits
Satisfied,I'm disappointed by the quality of some of the titles  I think the selection has decreased over the past few years.,FALSE,Products Offered
Satisfied,Just a low stock issue for one book the child wanted. I think you should take low stock out if we can't order them.,FALSE,Product Inventory
Neutral,Please get more classic chapter books!,FALSE,Products Offered
Satisfied,a couple books I wanted were not available as individual books and were only available as a set and we have most of the set.,FALSE,Single Titles vs Bundles
Very Satisfied,A book is out of stock.,FALSE,Product Inventory
Very Disappointed,"I wanted to buy some Christian books in addition to secular ones.  When I typed in ""Jesus"" into the search bar, there was not one result.  I typed in ""God.""  Nothing.  If you can't have one book about Jesus, I can't buy from you and I will be sure to let all my friends know.  Interestingly there are results for search words like ""gay"" and ""transgender.""",FALSE,Products Offered
Satisfied,Out of stock items should be able to be ordered and then I can be updated when they are available and shipped.  Not telling me to check back later.,FALSE,Product Inventory
Satisfied,It would be helpful if we could see the titles of all books that are in book bundles before placing the order. I did not order the unicorn diaries bundle today because I couldn't read what titles were included.,FALSE,Product Info/Description
Satisfied,Super disappointed the shark book is out of stock.  I did not see any information as to when it might be available again.  Super sad 5 year old.,FALSE,Product Inventory
Disappointed,I struggling with ordering simply because there isn't enough variety.  I'd like to see more stable books offered instead of bandwagon books that don't last the test of time.,FALSE,Products Offered
Satisfied,"One of the sets of books that a student wanted to order is out of stock. I will check back later. It is the Who would win, rumble 6 pack. Item number 42G1 for $22.",FALSE,Product Inventory
Neutral,"I struggled with the bundled options, its not easy to see details about each book.  Picture shows 4 books when there are 5- its a bit confusing.",FALSE,Product Info/Description
Satisfied,Would perfer a long list (with pictures) of the books you offer. I kept seeing the same 15 books. Sure there are more.,FALSE,Product Info/Description
Very Disappointed,Your book selections are very political.  I just want to get my kid a story book.,FALSE,Products Offered
Very Satisfied,"Kindly watch the woke content.  You have a duty to provide wholesome, unbiased literature to our children.  It's a powerful position to be in, please respect it.",FALSE,Products Offered
Very Disappointed,"PS, not buying any books on here until you provide more unifying, less divisive subject matter.",FALSE,Products Offered
Very Disappointed,"Too much anti-American content or divisive material on here.  I could not find any material on pride in country, being a responsible American citizen, or Founding principles.  If Scholastic cannot expand its subject matter, I’d rather not receive this newsletter.     Do better.",FALSE,Products Offered
Neutral,Not all books had a description of the story,FALSE,Product Info/Description
Satisfied,"Just that a book was ""out of stock""",FALSE,Product Inventory
Neutral,"while the selection has decreased. You are also offering books in packs, but not offering the titles separately.  I won't buy the pack when I already have most titles.",FALSE,Single Titles vs Bundles
Neutral,"It would also be wonderful if there were more books available with a Christian theme, especially at Christmas and Easter.",FALSE,Product Inventory
Neutral,"It's frustrating to not be able to get the next book in a series. For example, the Wings of Fire. My daughter read the first one to see if she liked it but we don't want the set because we already have the first one. We just want the second book, but will have to get it somewhere else.  Thanks",FALSE,Single Titles vs Bundles
Very Satisfied,"I appreciate the opportunity to offer my students a variety of books to purchase.  I would like to see ""small group"" sets of books for my new grade level to purchase.",FALSE,Products Offered
Neutral,I would prefer more individual books instead of a pack of several.,FALSE,Single Titles vs Bundles
Neutral,I wanted to see more books beyond my child's grade.  The options were confusing to figure out and looked like that same books over and over again.,FALSE,Products Offered
Satisfied,Wondered what to do about out of stock orders. ,FALSE,Product Inventory
Satisfied,"The book that I wanted to order is out of stock.  No details as to when it will be back in stock.  Usually, companies would send you information when the item is back in stock.  Disappointed.",FALSE,Product Inventory
Neutral,"Overall, the inventory sometimes feels limited on this site.",FALSE,Products Offered
Very Satisfied,would like to see individual book options if they are also in a pack: otherwise we end up with duplicates. thanks!,FALSE,Single Titles vs Bundles
Satisfied,I would love to see Reading Group Book sets for lower GRL levels A-D.,FALSE,Products Offered
Very Satisfied,I couldn't complete my order because one of the student order was out of stock and I had to contact the parent to see if they wanted to change their order or get reimbursed.,FALSE,Product Inventory
Neutral,"Just hard to find something that I think she will enjoy, thats at her level. Shes 8 and a good reader but many books seem to young for her (picture books) and she doesn't enjoy graphic novels. I only want  to buy books that will get reread,  ",FALSE,Products Offered
Satisfied,When selecting  books it would be nice to see the covers and authors.,FALSE,Product Info/Description
Very Satisfied,For holidays I like to purchase my students a book such as Spookley the Square Pumpkin or Twas the Night Before Christmas.  The last few years many of these popular books are only offered in book bundles instead of individually.  Could you please also offer books individually so that we may purchase these classics for our entire class.,FALSE,Single Titles vs Bundles
Satisfied,A book that my child wanted was out of stock,FALSE,Product Inventory
Neutral,the suggestions of books are very small,FALSE,Products Offered
Satisfied,"I'm always checking back on the site for new reading packs in our spanish classrooms.  We need more ""ready to read"" books for grades TK-3rd.",FALSE,Products Offered
Neutral," One of the items he ordered is apparently out of stock.  Instead of a backorder sheet of stickers, it won't even let me place that order.  ",FALSE,Product Inventory
Neutral,selection are pretty sparse,FALSE,Products Offered
Disappointed,You were out of stock on over $80 worth of books towards my order. ,FALSE,Product Inventory
Disappointed,"I have been a member of scholastic for over 30 years. The quality of reading of your product has gone down, in my opinion. There are not enough classic stories, too many graphic novels, and silly stories (Dog man, etc..) and these kind of books do not make my students smarter readers. I know these are the type of books that sell, but , in my opinion, they lower Scholastic's standards.",FALSE,Products Offered
Satisfied,"We really wanted to purchase individual titles of the Owl Diaries, but they were not available.",FALSE,Single Titles vs Bundles
Neutral,What my child wanted was out of stock,FALSE,Product Inventory
Satisfied,Not enough non-fiction or STEM related books selections,FALSE,Products Offered
Satisfied,I wish that scholastic carried,FALSE,Products Offered
Neutral,I couldn't find some books my daughter wanted.,FALSE,Product Inventory
Satisfied,Would like to order individual books from the black is beautiful 5 pack,FALSE,Single Titles vs Bundles
Satisfied,I was interested in many of the book packs but already own 1 or 2 in most of them and wish the titles that you were interested in were available to purchase on their own.,FALSE,Single Titles vs Bundles
Disappointed,Get this woke crap off your site. The more woke stuff there is the less I buy. Shame.,FALSE,Products Offered
Very Satisfied,"Biggest challenge was figuring out which books were in a boxed series. I was shopping for the Magic Tree House series and needed a specific ""next"" box set. I couldn't easily distinguish which set was the correct one for me to select",FALSE,Product Info/Description
Neutral,"For books that are part of a series, I wish you would say which number it is. As an example, I know my son likes The Bad Guys, but I don't know which numbers you have for sale.",FALSE,Product Info/Description
Satisfied,Not all books are available that are available on the regular of scholastic,FALSE,Product Inventory
Very Disappointed, book clubs has a lot fewer options.  ended up buying at amazon.,FALSE,Products Offered
